"","LD1_1","LD1_2","LD1_3","LD1_4","LD1_5","LD1_6","LD1_7","LD1_8","LD1_9","LD1_10","LD1_11","LD1_12","LD1_13","LD1_14","LD1_15","LD1_16","LD1_17","LD1_18","LD1_19","LD1_20"
"duration",0.251355512704576,0.0412503059121113,0.213474051729117,0.0252366018578282,0.0544790662794316,0.0945543577603049,0.235915219622853,0.0712693806153806,0.00518000108063457,0.108679756617623,0.260688125455518,0.0388363034277875,0.0943260235185262,0.0756851195983292,0.113694247172778,0.0294228230211592,0.0882309216122778,0.0472318254694484,0.307664203040766,0.17270166891882
"meanfreq",0.221383995324485,0.207966342477404,0.180007382012808,0.134514278319942,0.184674512574416,0.123592700871343,0.156931472516165,0.241240240165469,0.173895273804731,0.0187669365365601,0.00249430053172768,0.111049365544195,0.0669246856197438,0.000228112314454962,0.0660532308009646,0.127610046820755,0.167440261818112,0.166158443703478,0.0306052309442654,0.075213590989815
"sd",0.574952911671853,0.49384038228489,0.274173018325393,0.441599040254415,0.467637604074357,0.47095222563529,0.624961420797934,0.332532466970777,0.546164449523349,0.444346699616481,0.085429248494149,0.31611972084222,0.268247449687462,0.513342493329994,0.398341894175997,0.221261862060551,0.511647310510411,0.707768918530067,0.310019393833146,0.304346699927271
"freq.median",0.0334851768359512,0.00269688411591008,0.0172544304712662,0.0542235102718121,0.0490823502302179,0.0198265530470896,0.0615239633469156,0.0370869191999972,0.0285778216703223,0.0131681602954148,0.0287559486314715,0.0121524357592972,0.00351937822055119,0.0120568577064566,8.08519130116575e-05,0.0141479583897038,0.0448457679480647,0.0261392883275194,0.0280992134246218,0.00680218779758376
"freq.Q25",0.0348567353866996,0.0186707063215944,0.0298731358508129,0.00741436824746197,0.0095332445138378,0.000631802493714128,0.0182088617306625,0.0130245171224549,0.00189400493348359,0.00356143816761861,0.0015263659255822,0.00591112821247602,0.00397575275403225,0.00752623718772386,0.0093133377034871,0.026681926301858,0.0145017854868493,0.0370033475155536,0.00195429267475415,0.00712050557893059
"freq.Q75",0.0933327806415633,0.062363558129923,0.04329661034246,0.0814418765082644,0.0642960726188769,0.0458515387122972,0.0968232722219221,0.0528867809647802,0.0761897451776463,0.0418491925115375,0.00686790857288655,0.0439597436830259,0.0328531213392021,0.0491304193299297,0.0568617959330066,0.0834405809626736,0.0599245434960229,0.0900065287642672,0.0260096140817294,0.0532920734303777
"freq.IQR",0.065554006488618,0.0442365766629762,0.0324611624546178,0.0479166158015453,0.0513881085954086,0.0424975712861079,0.0419778008974795,0.040950644884786,0.0510742285911873,0.028548495260672,0.00630986346970241,0.0382500098153025,0.0274240361764596,0.0467281878152515,0.0435635377127386,0.0431803564588896,0.0548206801961342,0.071017283362862,0.0254026876791975,0.0440170779670811
"time.median",0.811650448799383,0.650293100946801,0.358076676430885,0.272925399917256,1.49615346052767,1.42259415974519,1.80406574925195,1.21754361622488,0.978926518304972,3.44171012806755,0.254330622233604,1.82757113864813,1.01129269411373,0.830905888543539,2.10831727072402,1.86259817190231,0.918379073742915,1.73419568764378,1.10327012630137,2.0668242866147
"time.Q25",1.94316601239126,1.25849947346171,0.484089634434903,1.82559708956164,0.751263243701107,2.76964481690543,1.75103789882596,0.914370292895993,0.646116950901392,0.3997940521326,1.27930770168182,1.26401868217773,1.48436239641661,0.552350776406983,0.73359765401797,2.09665968492935,2.20135234541326,2.13579752911433,1.23947350681675,0.446310940382115
"time.Q75",0.60882371860726,1.18429643540339,0.300188512149476,0.403038312254456,0.206624024149252,1.41234593602123,0.715041751931139,0.407652635240278,0.246009686653721,0.73754208003216,0.709621709908654,0.137013777303646,0.153162924345691,0.154833739845972,0.0587853901069766,0.774602908361639,0.556874543025095,1.38286098021388,0.695622417997129,0.54179292530688
