"","X","nm_avg","fam_avg","pre","post"
"1","sp.ent",32.1467902463763,32.8992112645539,42.6282054173921,29.3872245403542
"2","entropy",38.1138435517115,46.7873460589894,86.3354750609882,26.882505057107
"3","time.ent",33.1057910153099,37.3353781849972,76.219356788393,23.6426994075666
"4","sfm",6.12373188323036,8.75764324452739,19.1728887174312,5.27330761495636
"5","time.Q25",1.30884053412845,1.44463772924903,0.444066323288905,1.02813955456684
"6","meanslope",0.440199715557761,0.353424920505605,0.908228225504838,0.913114935418567
"7","time.median",1.30858121093423,0.766208105850991,0.765069477330341,0.808933973019169
"8","abs_minslope",0.517228186255347,0.198456690741354,0.800876832169829,0.794456106533419
"9","time.IQR",0.490618129163537,0.547690996914184,0.137454554318516,0.547712692844986
"10","duration",0.116493775770764,0.11655290208447,0.309634475583024,0.349472764407157
"11","segments",0.236706375311404,0.287477100350023,0.194583819752846,0.348422308034861
"12","sd",0.4153842605273,0.322445097255967,0.244210046634958,0.235631694384115
"13","pos_slopes",0.0960622168978665,0.0534755870111119,0.22838425335168,0.235262226345676
"14","meanfreq",0.122837520184542,0.0864391436348016,0.0136035721479897,0.212171824677689
"15","neg_slopes",0.112234863334896,0.101645701789905,0.241915142866688,0.201657764899076
"16","skew",0.22465064349817,0.257824206643793,0.19982693835468,0.199436602124749
"17","turns",0.144214464171233,0.217771442147303,0.110780433993515,0.141739845081123
"18","modindx",0.0678717032811794,0.0520993558990145,0.056424045460354,0.134118646760742
"19","freq.Q25",0.0126591747054794,0.0131109016986949,0.0292474138424279,0.0943571825298801
"20","mindom",0.0250448255862862,0.0101139174454868,0.0319700045560687,0.0738353483620906
"21","peakf",0.146774957839928,0.0230731124425595,0.113535739614843,0.0733138368585709
"22","minslope",0.114217228573019,0.130757512473338,0.189177083149502,0.0656217821039451
"23","startdom",0.00919372368235482,0.00589309237352276,0.0207287200240042,0.0457957790138856
"24","freq.Q75",0.0580338878711196,0.0286129646371357,0.036821485244556,0.0426186755370978
"25","maxslope",0.0865533565184026,0.0959452451044187,0.132710390799145,0.0404059894424345
"26","meandom",0.0117711436227545,0.0137112550284521,0.0140517282244224,0.0322612914775729
"27","freq.median",0.0246762828801589,0.0111205081505124,0.0366469787258398,0.0266336302785066
"28","freq.IQR",0.0423659465788509,0.0207684889974835,0.0210035914473193,0.014142426840738
"29","kurt",0.0134816177682455,0.00807616012991768,0.0028163509308634,0.00897861508354836
"30","meanpeakf",0.00774566656458395,0.00419967964273098,0.000902411956856344,0.0083886135153112
"31","time.Q75",0.569336720442896,0.676894957486875,0.0850573723007768,0.0077507456847639
"32","maxdom",0.00434032137736132,0.0043847870353662,0.00188891822723095,0.00338149740421353
"33","dfrange",0.00555334648058586,0.00362119871743307,0.000303563600783334,0.00140390914902066
"34","enddom",0.0154799341681564,0.0138082620974793,0.000243938390265428,0.000849337674433495
"35","dfslope",0.000122118188855068,9.82977489439384e-05,1.17130738327552e-05,9.24120330150982e-06
