"","LD1","LD2","LD3","LD4","LD5","LD6","LD7","LD8","LD9","LD10","LD11","LD12","LD13","LD14","LD15","LD16","LD17","LD18","LD19","LD20","LD21","LD22","LD23","LD24","LD25","LD26","LD27","LD28","LD29","LD30","LD31","LD32"
"entropy",-81.4299914802903,37.3156138706122,14.0279534765266,12.8197561242835,53.8402557673939,-7.72324478419364,33.3958471990535,4.70653161857762,-66.7058786807748,25.8183807476674,66.4019214338825,60.3977929520096,36.2264067251292,-79.1206261595519,-6.5408681638695,-104.384367003104,-31.2071184556507,-19.2133406538325,-46.4244192713905,-4.57568537299551,-81.44877155166,149.213633317702,92.2060357051496,-22.9658677570469,18.9426269784051,-4.94351930182679,21.3770380955664,44.6266229521801,49.8744450200415,7.92737751539793,-3.21757252246315,-51.7511718541171
"time.ent",60.8190266649999,-23.9359885574123,-3.70379587944363,-15.3588168336668,-48.8964387185426,-4.66760307643745,-21.4848465359754,-6.64775695941139,59.5921117877113,-27.7960132507949,-56.7277816510764,-51.2278358273472,-26.1129117341274,81.7681295144325,-14.9679904605606,80.2694779517147,25.9680790646192,11.5036252202402,36.5369491584844,-3.11760922690354,69.111164384128,-119.183491558066,-65.2458920922178,18.7716266815383,-21.2849394826536,3.4998011917516,-21.677827741888,-44.8182585205823,-47.6318385891935,-15.7629949525795,-5.00101648313671,39.077441192678
"sp.ent",52.3595433924504,-11.6099033801473,-6.54574656797342,8.15033901431028,-36.7310051261873,17.1156912581873,-29.3294126205245,-26.571900298672,52.122982582917,-28.1613624600593,-86.9086445980595,-39.4648148743295,-59.4833502646909,48.0546455195738,9.62357541402419,81.9593649115573,20.4325960727037,8.57551341929877,30.4658283011227,-0.385556510278657,54.1073929740161,-128.803895153059,-85.5678309796726,29.8940289033825,-4.34090840986338,-0.216494836195192,-4.90414114792728,-25.5718819123708,-19.8385714702412,-4.21139888260159,4.80875499529384,50.1461836288552
"sfm",6.49156931673427,1.92441517217955,0.47255804250394,-7.095717812984,-11.3071166768134,-10.6264761887357,2.24646364180456,10.0609155890484,2.35476399674722,0.295985214718482,13.8304724123449,-6.17494753954585,13.7361833938811,2.33406691005546,-3.44085626247254,-2.65946684740037,-3.60120946073823,-3.14344351404339,3.6909326769774,5.10661845298668,0.168625270710909,-2.66131052219229,0.822812063837799,0.495587350643826,-0.00929664170012051,4.2159984975707,-4.22060423195571,-5.24514381130116,-2.7791060683796,-1.53682133257857,1.96137995211988,0.524425286021056
"time.Q25",-1.43523831324844,2.86732053736778,0.52249611303889,0.185201042667008,-4.11656534992559,-2.29289187397829,0.899317327932492,-1.83153227360025,-7.23193064563121,-0.842690464654183,2.5326058241737,3.59362849268445,2.0546601277601,5.15345151212958,-4.86116559246731,-0.422907580669077,3.84316111943978,3.29108464187851,0.735206576113524,-2.1599684662463,2.0551382564077,-0.612552214386157,-0.421885109824335,5.36923558564956,2.82399870472856,-0.471278837724835,3.43545333865251,2.32712749483581,-0.402349757581627,0.713912770242237,-2.33209138220067,2.58837683039225
"time.median",-1.24290752478051,1.25207317837551,0.478072865640982,-0.613773556713193,0.201741895219737,0.739348336283428,0.790680523908382,-3.99649070875469,0.0272059631260452,3.06502995767003,-1.02585788995847,-0.122885994775184,1.34021769421342,-1.58836224266085,0.841882065794542,3.96962458564308,-1.98788929567288,-2.26507877586422,-0.401389248490895,3.22854062904527,-5.29601710712338,-1.96077360852097,-0.853079268926083,-8.83656752170567,-2.01377758318649,-2.11706409009155,-5.5357087739283,-3.62124689015568,1.58960642849173,-1.13436695613769,2.66054260628314,-0.692294412270681
"time.Q75",-0.761953268877081,1.16898230826891,-0.6598966133038,-0.593534988323388,-0.813304808520235,-0.489111912400111,-0.378073417063671,-1.79461579677587,-2.1494175970335,0.823751860736863,0.614620086025285,-0.669017800339264,1.53365884356059,0.048997120041884,-1.36329360183766,-0.731693907029426,0.331549067920643,0.143271518912028,0.00942237913233893,-1.74085354175631,3.08526049084833,-0.393624913990048,0.540809892497422,3.32441599905726,0.720118281073802,1.56052744066514,2.36764664343252,1.33146944481451,-1.22500707257378,0.280150117534766,-0.64212585271689,0.0709059498298014
"skew",0.40684142193907,0.42995262989927,0.156281911463677,0.378271361718809,0.237607289378111,-0.481735961071902,-0.476189448846077,-0.122836262412402,-0.0745969337403093,-0.663702077792494,-0.381259377651202,0.198528002607195,0.034110713925582,-0.303335478055954,-0.394668547374157,0.0519305401722158,-1.15437442314423,-0.63203402272893,0.0268843147219545,-0.0919493425558147,-0.571690823701029,-0.175006159663692,-0.71507452117087,0.518411665062577,-0.0289707205073336,0.230617504711836,0.0854237466262051,0.145343466809816,0.954894040303497,0.443457324026614,-0.221060444747127,0.560044963133207
"time.IQR",-0.287555039213648,0.061503326657978,-1.25640513273981,-0.967581947556764,1.16779783628143,0.598018705536864,-1.06216047023576,-1.56102938749236,1.00512442962651,1.67704747092707,-0.552537537939862,-3.02199110517781,1.05476425663706,-2.86932777904915,0.793982229313318,-0.82123375972244,-1.71138512023981,-1.66978838910309,-0.405814652323724,-1.2955572700319,3.30766878147533,-0.222094442241829,1.02606481360863,1.76398881922961,-0.56560130240168,2.53504343713854,1.47799065381373,0.605686788610346,-1.54933449082426,-0.000524135320400684,0.398184269586924,-1.37392075237424
"turns",0.281948456955096,0.605705163328686,0.621664930210761,-0.129750152464789,0.370240067574929,0.00718789523517987,0.0469907141445933,0.054838039455951,-0.120552402526803,0.0099879496744493,0.0264069766573631,-0.0391741891013949,-0.010544279294841,-0.0341232635902784,0.0142846966012917,0.223818303122559,0.160460300810221,-0.106296630690363,-0.104122666602508,-0.105073249744408,0.130419491570644,0.0544386678731475,0.0473057976825756,-0.0232783147549497,-0.0134001921242182,-0.045940982617072,0.0134060947264003,0.0173998695849051,-0.0551050295877417,0.0487599023980346,-0.0804747270161063,-0.150494955568854
