"","LD1","LD2","LD3","LD4","LD5","LD6","LD7","LD8","LD9","LD10","LD11","LD12","LD13","LD14","LD15","LD16","LD17","LD18","LD19","LD20","LD21"
"entropy",-35.7207561359165,-90.1673906293567,43.9926259456906,83.1564427468141,44.9839460105358,25.9235063926212,-25.6134616585037,23.0950934062134,-37.8859442140061,22.0070441438366,-93.8158056661086,-136.453696509615,-21.1726492326629,10.454474795688,-79.4710481151528,29.0250825375749,-23.205541766257,59.5932458246082,-8.64474106284452,20.6577843358645,19.1289798030414
"sp.ent",34.617199040849,55.8001007180932,-39.4872631022404,-61.6104617296764,-19.0650654570595,-20.486354038633,29.2179835398302,4.67313163491173,47.8092704859267,-41.1839956235502,56.8885637963153,122.99692758713,28.9896470530558,12.9246966105497,64.1284108877461,-41.3515599632932,18.0797884529053,-30.2214886521873,-4.16588599185715,-6.21366584083938,-11.1447291715595
"time.ent",28.4955720293677,75.6526214694604,-24.8785327453912,-72.02047962036,-42.0823957707851,-12.7647774900805,14.6698459599391,-17.3609249046005,37.9358760952878,-12.5319462233516,80.3437014232504,125.110643799123,10.5726667139464,-6.34927583359359,56.0157194855167,-25.5229057724022,34.372534921331,-50.7219639619367,3.87491906837862,-17.4832160528934,-11.0262524968744
"sfm",-14.1179765864924,4.66097311975123,-1.25668575912217,-1.72436999624707,-16.0197401516629,-0.216271996608536,-0.962383809890512,-5.69490969831476,-4.02263280931159,3.4102215776835,1.7975107454425,2.1426267399631,-1.87445561871586,-5.52123262966723,-4.6055223710401,8.20146883996668,1.14737821330326,-2.2715846622647,4.71479585872716,-2.90370194224192,-5.21848588815206
"time.median",-1.00692561201313,-2.30160214705765,1.62730240837118,-1.1848971072184,-2.3921753532962,3.10493862481369,0.0589631284830953,1.55897655824333,-0.362118659463963,-0.030428127502918,2.62937136594113,-0.929460978345798,-3.96824016735605,-2.39985283124999,-0.240407376561235,-5.50228163513579,-2.96325540717072,1.0755221640632,-2.23597815205441,1.46378127700906,-1.41662635005997
"sd",0.646406460340175,-0.406315280002285,-0.20401844703323,0.102006768042093,-0.230111669153412,0.0229036789259062,0.0915617383951561,0.0864476339291576,0.36992984564179,0.0954995679290508,0.206380029538622,-0.184855285156183,0.00798475030450747,-0.0534941791677454,0.19585613622862,-0.113921661394995,-0.0440014417159051,-0.166150745296509,0.100328486351407,-0.119892838817562,0.215860053691146
"time.Q75",-0.62476420540219,-0.40312026488236,1.74183744897271,-0.0373970698470523,-0.657751656645041,1.80015998744482,0.886490714053347,-1.00306795355311,-1.05645182173776,-0.41206835754078,2.15024497851499,0.145107347777571,1.90663289221728,1.31720115522793,1.04395119298518,1.70065750432856,-0.110063949359228,0.279974687333542,1.56251655322398,0.47700653635579,-0.238786906248997
"time.Q25",-0.597931377667108,-0.803593437633897,1.14235492415285,-2.54968891125352,-2.02591623524431,5.34823571560368,-2.89761809926394,4.25874291391116,-3.04975870344692,0.25802997626051,0.964575426575334,4.95153789897483,-1.68698502650794,3.51827299909458,-0.448570485227558,2.63343686793685,0.861012911461139,-0.609178763092096,3.81743614842498,-0.253879096416849,0.522841358034317
"time.IQR",-0.482104634182098,-0.0784875232503656,1.63619139943492,1.37064025517784,0.269830203514967,-0.629161833721843,2.76950230928119,-3.6793160037813,0.319722093218607,-0.681170294326375,2.26791052217285,-2.5672570901366,3.42626527814936,-0.240410757620426,1.61150659995195,0.752382242623477,-0.622902926084867,0.704346354293392,-0.0869537434368792,0.763568294773637,-0.602554411096057
"turns",0.264818937670397,0.223537361534927,0.33420188815937,0.251531139073755,-0.107286211195668,0.102851884687148,-0.232199367731801,0.252816749881107,-0.288748965234989,-0.189491241838844,-0.0324265328737406,0.198090671232419,0.27595136132664,-0.275138295926447,-0.139556277433415,0.0409636501217878,0.0199134376399931,-0.0394455914506425,0.29062865796494,-0.224734326722242,-0.197182844717029
"meanslope",-0.25104951199962,0.0362849670071234,-0.366074521061181,0.0147814812210659,-0.580720565070577,0.0277435498182412,0.509197795642801,-0.815706201730151,-0.484688798498998,-2.21868907321218,-0.419165378991648,-0.334448133326081,-0.766685138933938,-0.463680211991834,0.405325932881807,-1.93823338242274,1.95075789087003,-0.132416130565548,1.54883626514942,0.0787904457490223,-0.850718171061531
"skew",-0.240676154166666,0.177897821162233,-0.265019330481926,0.15413813924742,-0.427048890900756,-0.41120590118462,-0.240443025138036,0.233932373985567,-0.338112672110746,-0.639630419628701,-0.393457032117035,0.706006654964981,0.388031700668976,0.476171171703017,-0.610712849940724,0.0444277196346569,0.121786324688593,0.370808798328244,-0.571546415629063,0.911778374873434,0.20408504813483
"abs_minslope",0.184687276658855,-0.152739298130333,0.435436196592357,0.727425493543593,0.207782498861126,0.980975399058338,0.917089698747179,-1.18802498725536,-0.519951084173102,-0.0779002144731326,-0.401511992534928,-0.933257641971878,-0.00236021838086295,1.58889060858428,-0.576204282660205,-0.555230453046789,2.4227709790092,-0.708677548592471,0.493833258058345,-0.359886365432564,-0.881051817179608
