"","LD1","LD2","LD3","LD4","LD5","LD6","LD7","LD8","LD9","LD10","LD11","LD12","LD13","LD14","LD15","LD16","LD17","LD18","LD19","LD20","LD21"
"entropy",-23.2130964399915,12.1292526383574,33.8767972976485,3.87054175016943,60.4767880430957,162.677738965529,8.27501155033563,1.50492573880058,-4.19062066494167,26.8978383614674,-56.2591760563008,68.5428921940946,-27.0232362613971,-80.1946222319392,-80.0646509234547,22.2436234967173,-56.155291505213,51.1250836330504,-48.0955024028649,-29.7027695913334,-34.3991933905533
"time.ent",22.7147394976463,-9.17144843987288,-41.886473993569,-4.49263389026062,-52.3050081861082,-136.046886055878,0.306376271229243,6.24488370984734,3.17662488640352,-24.4012644747417,37.7460258225727,-72.2766002443292,18.1606504633147,67.2814990564033,66.1940214838236,-27.5694889661764,62.6274492918975,-47.4591511289531,37.0711189378784,31.7997984888571,29.1910306968893
"sp.ent",11.7424094168377,-23.9496206111352,6.2686396457389,-6.82762389935054,-22.1832748605406,-132.04928301525,8.024598808524,12.9619745740093,4.13774398083338,-19.8540653471367,42.4168742274753,-56.4161975328353,5.28098032879354,58.5870621280823,72.4389707541773,-13.9854086454577,38.3392273456167,-7.15800199187942,26.5615320372172,29.6316425457378,13.6702471389697
"sfm",-5.67803107177187,5.0453814177688,-15.5071963716904,9.28689475396817,-4.90766037560881,-1.47354361699909,-7.21226850541755,-1.97731453170058,1.53334538230839,2.12552755555364,2.78610186492763,0.670325884718384,1.95128408460405,-0.0932803814994658,-1.61824728186139,2.69655020747636,-1.78273684847933,-11.754239491615,6.08570338133244,5.54012245838789,3.40104447897304
"time.Q25",-2.29835319478153,-1.10184474373981,-4.44535225750047,-1.70505804372847,-1.44006795103306,1.31964484851262,2.64016140716245,-0.260884628556977,1.65339309087768,2.81538172665854,-1.83810144993421,-3.6608157471383,-1.53647610526307,-2.10593971526924,-1.19037922745726,2.28473349206326,1.90098138460609,-0.874426887038914,1.24570828444081,0.89590959698958,-3.15964179574057
"time.IQR",0.875193223936529,0.539580104200576,1.5627070414377,2.63543175863537,-1.89028721556167,-0.929937256033408,2.11579750061006,1.780185574029,-2.23158514296645,-0.145940066465918,1.10871521420667,1.61990488508434,-1.20413966490053,-0.295370196005764,2.4511512168944,0.452679130498624,-1.08989131497155,-0.214697074735017,-0.230671577935734,-0.491140766789765,0.256913410462929
"time.Q75",-0.642606793447521,-0.228665083474566,-1.32894219929381,0.837449951298355,-2.01620863258204,0.0861509337888468,2.80333223686053,1.03921473668642,-0.597700942821558,1.39995595141892,-0.243445864756271,-0.874075008104267,-1.61345399507746,-1.31485119732775,0.989095923563866,1.51397521767716,0.289324903583294,-0.60686041541644,0.509530190931066,0.151250672125602,-1.50952051485525
"meanslope",0.583792906417394,-0.153419280643256,-0.337308557375835,-0.280627052582389,0.0857525089533534,-0.241546090102516,-0.356043054644847,0.293869242960896,0.693187356245295,-0.125076612196444,0.494900378038566,-0.00625334947943774,-0.453527502899014,0.0917476992409063,0.700973206011133,0.407431297532471,-0.701047551616796,-0.777851817144208,0.426073102269294,-0.301889534352342,-0.686373739165287
"segments",0.464652340621057,-0.130763191950313,0.149151471918895,-0.275247529924247,0.10492802649805,0.0342670022198234,0.210432894540075,0.0352297974168059,0.525929457156108,0.24198894713015,-0.062100411802127,0.570119888541574,-0.402524344835755,0.387101424329345,0.0828620417929053,-0.381222253344127,0.490275844298536,-0.56857890452538,-0.286437809916962,0.360761326107077,0.228885933436985
"abs_minslope",-0.38721624007291,0.119203281168476,0.0275799696493962,-0.117012845327823,0.10701387677907,-0.49601075858783,0.0880586517872382,-0.0421276461712512,-0.281126120334056,0.113258024558602,-0.159594287984315,0.170685676762629,-0.607617909919213,-0.261380174051277,-0.398641829389651,-1.71585475955831,-0.790922493306281,-0.937556864439576,-0.714561543736191,-0.512424711046554,-0.285130056395114
"duration",-0.202795890691619,-0.0356577142304311,0.0667998060113072,-0.0709134233161687,-0.214364309928396,0.00509508134683253,0.0191940673785891,-0.175305898398177,-0.0362872254371284,-0.00397981487289954,0.140065758277202,-0.105002169112941,0.185117783287439,0.204119125981557,-0.00701561563815786,0.107286540403861,0.0799093444487221,0.158046898118769,0.0418193691286526,0.0112091227720788,-0.0597374421628761
"sd",0.1962652555434,-0.369862840003314,0.16845421379929,-0.227039834366567,0.122061594849484,0.0805031287533769,0.0874695074042772,0.0599852729724738,0.416275164433497,-0.0462856902473211,0.129760765365262,0.169011107930124,-0.0742331769526014,0.0440617253307353,-0.0126246199194012,-0.11916716652305,0.0122897306992223,0.074385312511447,-0.199495772142272,-0.0266988551553186,-0.0167421345129888
"minslope",-0.152722830809108,0.123966209051958,-0.0784824171139676,0.183811442809065,0.110078117908179,-0.0120305154955275,0.199878389750949,-0.0194503429990597,-0.1466383702547,-0.128157997533369,0.0310689054615018,0.0299665573620231,0.248029151027539,-0.240999688641007,-0.112639555402219,-0.0120020214513859,0.104973745848113,0.306940401302649,-0.188024616872898,0.00878806128527424,0.161700625856317
"neg_slopes",0.131003965955399,0.0689849303837945,-0.0235169977378442,0.0367103500971666,0.156956877540608,-0.0846828752245715,0.0465361829186103,0.0153865121646699,0.0167440013117851,0.034441925427553,0.00733030052984181,0.155974701236499,-0.0701302056858268,-0.0870233475707162,0.00102006650523847,-0.0381598674532749,-0.149940101266274,-0.184684902318064,0.00478025893203284,-0.0219571649795003,0.0817627062013814
"skew",-0.125077841592516,-0.153682680326663,0.331724957001207,-0.0242995442582256,0.0928395422443841,-0.344436097336756,-0.383046128951125,0.420624736600703,-0.477616419637146,0.528643805776345,0.272656546140186,0.0323213345830617,-0.924886315812855,-1.03459526546922,-0.557744625334412,0.394231500958409,-0.159164765550481,0.86439834563484,0.373516108832431,0.660550325968689,-0.233723143631272
"turns",0.106654241879907,0.251297432479511,-0.348976703709889,-0.183051415066282,0.101437765028983,-0.448709686707374,-0.421739459772801,-0.346000521422375,-0.0131187500749822,-0.137018524422091,0.201511124871067,-0.0459608013691648,-0.42762022884669,-0.483259937477071,0.452453986461264,-0.214356140497044,0.136537362524492,0.306629060822484,-0.102634432602037,-0.129808610702322,-0.272340547227048
"maxslope",-0.096219098322119,0.0534259305228932,0.030966093532281,0.163945369738632,0.0660302121009307,0.0530343392333497,0.182909108023807,0.00986202700420247,-0.0723369259381356,0.0981342359505805,-0.0808522948563485,-0.0883179611691463,0.277226905452955,-0.0646892473999045,0.0116781392609214,-0.0105495625477662,-0.0261044392867774,0.131324415336034,-0.210056657274915,-0.102406616791907,0.150251502449004
"modindx",-0.0585496495744445,-0.172819284399368,0.0229893971745214,-0.0493080700526005,-0.0872578505740333,0.0483902660911025,-0.0526307271489968,0.0493713102719805,0.0315534429713847,-0.237156312094231,0.132201222014145,0.0256772565431835,-0.0660343873407643,-0.237733954189716,0.0977380133709115,-0.100953708408922,-0.327343306044479,-0.0645634853598026,0.177987345854885,-0.103435789657292,-0.235621249605764
"time.median",-0.0538488561884331,-0.534958679860349,-3.04436730981138,-0.0824277290824466,-0.895721874534209,1.55766299630832,0.566645886914595,-0.681853034148226,2.02858916108939,-3.19064601655866,2.5712382687186,1.20255720157548,-2.47828317331616,1.76647625361305,0.505615028607254,-2.48605874252561,0.196309342789327,0.826458618998916,-1.18778111637524,-2.20037207526143,4.02325667168113
"meanfreq",-0.0302097000497474,-0.0434350892262817,0.140718058259509,-0.0979920141149808,-0.00818424183202799,0.0626548614836103,0.0258050886848925,0.00915675945978974,-0.151520733237568,0.0205508776443008,0.170387932987171,-0.122721717946981,0.191056443645416,-0.280080336478942,-0.0882649518103303,-0.0602584453750364,0.152813626760881,-0.355153471624126,0.410322958433152,-0.201792002660999,0.0957967631489739
"peakf",-0.0225353859696286,0.0307187929882442,0.0451041084246798,-0.0769160791151899,0.0788612159736963,0.0966233023776836,-0.0416690296571713,-0.0163452536344825,-0.057473035755,-0.00996623982571378,0.00978510984747562,0.0582632019929594,-0.018728277209396,-0.0548535454483867,0.16079853530342,0.0456885794998894,0.0524138488638285,-0.0815287292868184,-0.0673331160452174,0.124533322262273,-0.014210784129104
"meandom",0.01984231369218,0.014841438163811,-0.0193166956297111,-0.0113073590886108,0.0278048048246144,-0.0349890830091385,0.000533555733836881,-0.0120222012022591,0.0311150568128403,0.0825469142091593,-0.0780565257726445,0.110538393695871,-0.0173178641830597,0.0139056959603927,-0.0697198053695051,0.00922708596370403,0.0314141812756095,0.0367839938319971,-0.146769503968284,0.0163201899249855,0.125687775285954
"freq.median",0.0182424461882941,0.0232174014338202,-0.0691593730343814,0.00478402677234316,-0.013019732465575,-0.026323844223155,-0.0171124647993021,0.0501739275290402,0.0219207256705991,0.0510027868363559,-0.000933464159590068,0.0749870507691061,-0.0403199694013724,0.0726284976120413,-0.0195339487244399,-0.00974133816576119,-0.043672832138197,0.0609521218121372,-0.107334336610075,0.100017597352255,-0.10581752620013
"enddom",0.0156210355146541,0.0104241825923427,-0.00870275354102427,-0.0108727706473414,0.00769486901341392,0.0174827451529271,-0.00473767947488429,0.0241574221826009,0.0267078338247364,-0.00768542552751836,-0.019707825919659,0.0244870226723129,0.00775525736923045,0.0176006448099083,0.0392072291866489,-0.0221674979848098,-0.0133690872615029,0.0211625309060378,0.0483040221550382,-0.000527159734209833,0.0391105234952018
"pos_slopes",0.0116685777041104,0.022297867603039,0.0507464796492847,0.0489464406016059,0.0469270167332942,-0.060292168795122,-0.0449770385845268,0.153526107973686,0.0165891614140514,0.017152133897968,-0.1257860822938,0.139359948574656,-0.0435649498450213,-0.119516825096866,-0.0274403988723064,-0.0803603810915075,-0.0568342299592561,-0.16136442299642,-0.0354171885195163,0.00408568581033148,0.188501616116892
"freq.Q75",-0.0115178747919957,0.0541726240218055,-0.0574471501519842,0.0250164130336541,-0.016277205091341,-0.0162505634916629,-0.0287871433059784,-0.000892690240406167,-0.013128306706299,-0.0460064294366758,-0.0128976071194519,-0.00431105814207067,-0.0306852336964362,0.0822438259643537,0.0189200265646776,0.0529300615643785,-0.0310316133493419,0.0794216606502045,-0.0679564229364505,0.0302702330289998,0.031656619253961
"startdom",-0.0108367248681214,0.018199856380649,0.0102506464885448,0.0308566617334141,-0.0172211554515336,0.00446309320464275,0.00611298132664388,-0.0173978865352672,-0.00617979716689268,0.0296612437906556,0.041581661654746,-0.038634399476699,0.0121249813808304,-0.0439760268366827,-0.000634563061606191,-0.0235948621086959,0.0169418383369878,0.00190641710347431,0.0415923813387271,0.0297050079377731,-0.00103337567591978
"freq.IQR",-0.0104953731484338,0.0325023369036188,-0.0447068879222707,0.0161332963460925,-0.0133398161545381,0.000516226520315963,-0.0115496680326346,-0.000249958095568382,-0.0360349418461342,0.00506644089190852,-0.0223502839767045,0.0263233454112759,0.0572949825093146,0.00674995747331874,0.0130325444563713,-0.0100790452302648,0.00540711668523303,0.0182348038136288,-0.0261364617441917,-0.0149674287865526,-0.00460289000107968
"mindom",-0.00980495852052627,-0.00255978963710196,0.0436526129893889,0.0398264375153537,-0.017550224541429,0.00763966556341866,0.0170947584127441,-0.0160732519835713,0.101138883150348,-0.1396896328508,0.0172014825105517,-0.0483699936763216,0.0295028668326129,-0.00894152211011495,0.0142140372880333,-0.0344207555555948,-0.0789993428560089,-0.0108789781084032,-0.028212347245156,0.0263502806890843,-0.140081197202852
"maxdom",-0.0046457215798439,-0.00327298230623973,0.0037752212140185,-0.00563174919292085,-0.00402757325923621,0.0128197003620531,-0.00572426731043075,-0.00348931354415137,0.00470391825623043,-0.0228936287429616,-0.00755038661826262,-0.0179224091493466,-0.0059187565019355,0.00632404965725957,0.00606614854708036,-0.00178046403956966,-0.0279919928097319,0.00616422174441427,0.00332297869834939,-0.00876527898966366,-0.0307862451581457
"dfrange",-0.00320036342883218,-0.00295247596172425,-0.00312610935021352,-0.0121785653081941,-0.00132218177022971,0.0119473379191195,-0.00862559858433086,-0.00100610080999663,-0.011397333104017,-0.00110747417949173,-0.0105192242918346,-0.0106543145709941,-0.0108167379067675,0.00793347580903887,0.00395239709920078,0.00369434617830693,-0.016086223016882,0.00808016638635501,0.00794224184847578,-0.0132358553812103,-0.00915499315314794
"kurt",-0.0030582881118954,-0.00152754257142455,-0.000303586446590717,-0.00163284021353313,-0.00227440194579617,0.0246047053744946,0.0490724936438298,-0.0242202429874507,0.038378102984534,-0.0268902720312786,-0.032274894912434,0.014538605471602,0.0604948405210669,0.0823718214213245,0.0466806699427111,-0.00820985359222133,-0.0223081516195238,-0.0347982784486297,-0.0318487465954929,-0.000369758704855659,-0.00784341089180964
"meanpeakf",-0.00289863657190368,0.00199538177539625,0.00902800712518904,0.00473690679054835,-0.00388643664180082,-0.00981071385582388,0.0112313987242898,0.00917306411619277,0.0204781699859889,0.0230446472033464,-0.00689389877583955,0.0227697226524402,0.00844748944283097,-0.0083840890391527,0.0064802720872226,0.0139507217671683,0.0391353139590336,0.0045661063365135,0.00909291172194006,-0.0327908357376261,-0.0453906739853353
"freq.Q25",-0.00120476448742813,0.0245609517731326,-0.0145707418176652,0.0100824439190121,-0.00337494300806592,-0.0188720084162014,-0.0194636224213445,-0.000724813459640094,0.0256019402548959,-0.0574676368297993,0.0105266397726487,-0.0343509220049362,-0.0987475244618725,0.085019233997512,0.00669433860392929,0.0708787984297791,-0.0409920013740377,0.0689723782240955,-0.0472111884944603,0.0508481714603709,0.0407943658102862
"dfslope",-0.000218080611866559,-6.01749577220623e-05,4.02538484627544e-06,0.000119184898481945,2.4184609487863e-05,-0.00011542201430537,0.000120565825426605,-0.000166114780488168,-0.000219651483754367,-7.18888331021558e-06,2.1566474820434e-05,-8.10951204062315e-05,-1.54257998259254e-05,-0.000210691263524104,-0.00017469618979716,-1.56469867084592e-05,0.00013482678373955,-5.68792410749917e-05,0.000226482703355209,7.07328340192391e-05,-0.000249122339740595
