"","date","bat_ID","birthdate","capture.site","sex"
"1",2011-08-16,"bella","11/1/04","zoo","female"
"2",2011-08-17,"bella","11/1/04","zoo","female"
"3",2011-09-23,"bella","11/1/04","zoo","female"
"4",2011-09-27,"bella","11/1/04","zoo","female"
"5",2011-08-23,"bella","11/1/04","zoo","female"
"6",2011-10-18,"bella","11/1/04","zoo","female"
"7",2011-08-24,"bella","11/1/04","zoo","female"
"8",2011-10-21,"bella","11/1/04","zoo","female"
"9",2011-11-01,"lucy","7/15/06","zoo","female"
"10",2011-08-25,"lucy","7/15/06","zoo","female"
"11",2011-08-26,"lucy","7/15/06","zoo","female"
"12",2011-08-17,"lucy","7/15/06","zoo","female"
"13",2011-08-18,"lucy","7/15/06","zoo","female"
"14",2011-09-30,"lucy","7/15/06","zoo","female"
"15",2011-10-04,"lucy","7/15/06","zoo","female"
"16",2011-08-15,"mya","1/1/96","zoo","female"
"17",2011-08-16,"mya","1/1/96","zoo","female"
"18",2011-09-22,"mya","1/1/96","zoo","female"
"19",2011-08-26,"mya","1/1/96","zoo","female"
"20",2011-08-27,"mya","1/1/96","zoo","female"
"21",2011-08-15,"vampirella","5/1/08","zoo","female"
"22",2011-09-16,"vampirella","5/1/08","zoo","female"
"23",2011-09-20,"vampirella","5/1/08","zoo","female"
"24",2011-08-24,"vampirella","5/1/08","zoo","female"
"25",2011-08-25,"vampirella","5/1/08","zoo","female"
"26",2011-10-28,"vampirella","5/1/08","zoo","female"
"27",2011-08-18,"veronica","7/15/06","zoo","female"
"28",2011-10-07,"veronica","7/15/06","zoo","female"
"29",2011-08-19,"veronica","7/15/06","zoo","female"
"30",2011-08-22,"veronica","7/15/06","zoo","female"
"31",2011-11-16,"veronica","7/15/06","zoo","female"
"32",2011-08-23,"veronica","7/15/06","zoo","female"
"33",2013-02-17,"cerceson","5/24/12","zoo","male"
"34",2013-02-18,"cerceson","5/24/12","zoo","male"
"35",2013-02-08,"bella","11/1/04","zoo","female"
"36",2013-02-09,"bella","11/1/04","zoo","female"
"37",2013-02-15,"bella","11/1/04","zoo","female"
"38",2013-02-16,"bella","11/1/04","zoo","female"
"39",2013-02-22,"bella","11/1/04","zoo","female"
"40",2013-02-23,"bella","11/1/04","zoo","female"
"41",2013-02-04,"cerce","2/14/01","zoo","female"
"42",2013-02-05,"cerce","2/14/01","zoo","female"
"43",2013-02-25,"cerce","2/14/01","zoo","female"
"44",2013-02-12,"lily","9/23/11","zoo","female"
"45",2013-02-13,"lily","9/23/11","zoo","female"
"46",2013-02-25,"lily","9/23/11","zoo","female"
"47",2013-02-26,"lily","9/23/11","zoo","female"
"48",2013-02-13,"flapper","5/9/11","zoo","male"
"49",2013-02-14,"flapper","5/9/11","zoo","male"
"50",2013-02-10,"lucy","7/15/06","zoo","female"
"51",2013-02-11,"lucy","7/15/06","zoo","female"
