"","measure","never_met","familiar","pre_convergence","post_convergence"
"1","sp.ent",0.276556673537428,0.249899215630142,0.185559385785451,0.319858317276655
"2","entropy",0.32789083163833,0.355392139572498,0.375815907963975,0.292596288565459
"3","time.ent",0.284806892627528,0.283595908991832,0.331780728091499,0.257333387778677
"4","sfm",0.0526820533646335,0.0665222080850903,0.083459048282802,0.0573960735177948
"5","time.Q25",0.011259867051589,0.0109733279775617,0.00193300828385033,0.0111905425909729
"6","meanslope",0.00378700853471675,0.00268458139340422,0.00395349206065634,0.0099385842416694
"7","time.median",0.0112576361115973,0.00582004240533015,0.00333032603429026,0.00880465111778507
"8","abs_minslope",0.00444967928537438,0.00150745776103914,0.00348619444830297,0.00864707019327384
"9","time.IQR",0.00422075475463429,0.00416020765470472,0.000598335830068755,0.00596144967837616
"10","duration",0.00100218811483393,0.000885324531828732,0.00134783021111521,0.00380375391367078
"11","segments",0.0020363690203442,0.00218364815227349,0.000847017924484185,0.00379232046893857
"12","sd",0.00357352284476313,0.00244926166284319,0.00106303950195686,0.00256467762579125
"13","pos_slopes",0.000826416788559459,0.000406195368696765,0.000994150266473946,0.0025606562380314
"14","meanfreq",0.00105676292119562,0.000656583345429663,5.92159690409848e-05,0.00230933420479133
"15","neg_slopes",0.000965548977703163,0.000772090885255968,0.00105304985004664,0.00219489639989025
"16","skew",0.00193265437070812,0.00195840764973491,0.000869841073097418,0.00217072067732692
"17","turns",0.00124066733199513,0.00165417073806537,0.000482224130422704,0.0015427339276782
"18","modindx",0.000583895696674667,0.00039574165074367,0.00024561229159513,0.00145978279130799
"19","freq.Q25",0.000108906028236246,9.95891367838898e-05,0.000127313174347226,0.00102700850791573
"20","mindom",0.000215458949412504,7.68243352781615e-05,0.000139164535567378,0.000803643442074754
"21","peakf",0.00126269508674765,0.000175261122680895,0.000494217898720917,0.000797967173064485
"22","minslope",0.000982603132466043,0.000993221373669874,0.000823482551287102,0.000714244816540617
"23","startdom",7.90929862523656e-05,4.47633576968453e-05,9.02315384405902e-05,0.000498453360018409
"24","freq.Q75",0.000499261632625674,0.000217341302263288,0.000160282895298712,0.0004638729262485
"25","maxslope",0.000744612702505399,0.000728790769548591,0.000577684618972708,0.00043978946610654
"26","meandom",0.000101266356581502,0.000104149362407563,6.11667799058715e-05,0.000351140421274495
"27","freq.median",0.000212288401308575,8.44703005757402e-05,0.000159523273304038,0.00028988746971166
"28","freq.IQR",0.000364471387883962,0.000157755426674504,9.14280460575755e-05,0.000153929910777213
"29","kurt",0.000115981450568283,6.1345728489981e-05,1.22594968230606e-05,9.77256191089068e-05
"30","meanpeakf",6.66354482986954e-05,3.19003589531974e-05,3.92817400592214e-06,9.1303886136207e-05
"31","time.Q75",0.00489796549893949,0.0051416283989221,0.000370252362399874,8.43611641161808e-05
"32","maxdom",3.73394927769419e-05,3.330641674148e-05,8.22240820630259e-06,3.68051112857519e-05
"33","dfrange",4.77750661232727e-05,2.75062739909023e-05,1.32140386292669e-06,1.52805181516348e-05
"34","enddom",0.000133172832102772,0.000104886218688571,1.06185698937903e-06,9.24441568038903e-06
"35","dfslope",1.0505745621673e-06,7.46660160383996e-07,5.0986682755801e-08,1.00583698660397e-07
