"","LD1","LD2","LD3","LD4","LD5","LD6","LD7"
"sp.ent",29.3872245403542,24.829444594036,-52.7852998687583,71.032178337554,-70.4731433985386,143.487688534135,37.1815526825591
"entropy",-26.882505057107,-14.9272894185068,105.530531807571,-95.4202548126877,68.7581680702523,-164.484767669824,-52.4315507343217
"time.ent",23.6426994075666,17.9021218020246,-92.8341882943688,73.384721285101,-69.416624484565,126.669827195022,50.6754232200941
"sfm",5.27330761495636,-2.13892515759028,-5.12330282616744,6.82275830736068,3.56674444921024,-6.26988501325399,7.28993630781055
"time.Q25",-1.02813955456684,1.7311427093507,0.247502765698129,0.189690834714298,-4.42500069138402,-1.860472875015,0.214590559987733
"meanslope",0.913114935418567,-0.0132410858569368,-0.534233886535831,0.310393780436368,0.670945957320613,1.18026596051273,-0.80303355254856
"time.median",-0.808933973019169,2.04355600732071,-0.697264319959324,-2.07191118146998,-1.68311568910482,0.16337156949045,0.720597246967224
"abs_minslope",0.794456106533419,-0.844968434573064,0.0491649558631,-0.531286610101761,-0.637615687994909,0.341646226105555,-0.914180645390018
"time.IQR",0.547712692844986,0.870915752551797,-0.343626004207993,-1.37375800312058,-0.210880111322445,0.430377836237981,-1.7213307581313
"duration",-0.349472764407157,-0.221165398412893,0.113051434679073,0.117533301078902,0.0374459852254419,0.081056260000384,-0.119826793422613
"segments",0.348422308034861,0.423320552600931,-0.378581853966192,-0.589333599517833,0.00830543541195536,0.0425089688869979,-0.394413379239025
"sd",-0.235631694384115,0.516953128898078,-0.0695127705185251,0.0774989897338382,0.0352264657200565,0.0727785525776296,0.21777720470413
"pos_slopes",0.235262226345676,0.173022664121121,-0.0147183629309913,0.0259272034618284,0.0762823781356297,-0.0956658629327281,0.0768211270185257
"meanfreq",-0.212171824677689,0.101437249661636,-0.0177468193039104,-0.0959143193826284,0.0600548442614369,0.0764717313903258,-0.0961991331737913
"neg_slopes",0.201657764899076,0.081617997491366,-0.0709663763521627,0.000503484980629827,0.0680828259470085,0.0670236774996884,0.0504101373700797
"skew",0.199436602124749,-0.353380813351329,0.85072798415126,-0.844359202852478,-0.349150381441133,1.17134890980993,0.355483691405841
"turns",-0.141739845081123,0.0786460835986349,0.0808649058140237,-0.0485809366585086,-0.248454391322886,0.260145861559872,-0.151464533549551
"modindx",0.134118646760742,-0.00932516325132387,-0.156945694845858,-0.0866489184050935,-0.197216569770029,0.165554574896288,-0.342615219076314
"freq.Q25",0.0943571825298801,-0.022151967382623,-0.0593813888383693,-0.0215518719779284,-0.0132945259857483,0.0241399846027305,0.0501901938021411
"mindom",-0.0738353483620906,0.0312891795331607,3.62471952186466e-05,0.000522085675336407,-0.0122700824442792,0.0402662675543671,-0.00129525434171368
"peakf",-0.0733138368585709,0.0397864229944343,0.0234020549375328,0.0173114656312374,0.012427646861793,-0.0579059076734706,0.0311065775766068
"minslope",-0.0656217821039451,-0.100606310892797,0.103751598980932,-0.0784523414922981,-0.0537573536138404,-0.269541185880647,0.0511884459982532
"startdom",-0.0457957790138856,0.0342594600363256,0.0193888537803097,0.0203325469748912,-0.0236266065961857,0.0341777738859672,-0.0651131061857229
"freq.Q75",0.0426186755370978,-0.0621449940757211,-0.0164289450904313,-0.00138013452247091,0.0084723089148177,-0.021585109898317,0.0233197892086415
"maxslope",-0.0404059894424345,-0.0420883873075284,0.0459297099384371,-0.0452922768808185,-0.0454098855878622,-0.155636936107402,0.108038917578972
"meandom",0.0322612914775729,0.00565906485016845,0.00720406158686382,0.0536404274891107,0.0514819587855894,-0.0868956287434754,-0.0416660148708021
"freq.median",0.0266336302785066,-0.0129089213726086,-0.00961818975822952,0.0120080714888599,0.0520866059918458,0.0124170855079664,0.00880745369961046
"freq.IQR",0.014142426840738,-0.0671086008337274,0.00381366101375423,0.0069905442954767,0.0157189318208158,-0.0361288746131664,0.00831805091182403
"kurt",-0.00897861508354836,0.0175252099601843,-0.0591204552672138,0.0737925765035617,0.00161098589578768,-0.0981390362129885,-0.0314701364145339
"meanpeakf",0.0083886135153112,-0.00243264992270485,0.00812355638469876,-0.00273970000410555,-0.00916601769022902,0.00583601538662414,0.020814525141419
"time.Q75",-0.0077507456847639,1.48012383183426,-0.171401028202795,-1.03984891174187,-2.13454157566223,-0.47279912436106,-1.31317930868129
"maxdom",-0.00338149740421353,-0.00730381759780218,0.00233987203673054,-0.00222414541590148,-0.015908092295052,-0.00336791979059404,-0.000870359518975499
"dfrange",0.00140390914902066,-0.00944315247823058,0.00236734321166558,-0.00228665337641794,-0.0153085627367015,-0.00604412330989487,-0.000796755278336071
"enddom",-0.000849337674433495,-0.0140538769081652,-0.0109118058490918,0.0037483974544871,-0.0176016712707847,-0.0320282022181053,0.0328784045103423
"dfslope",9.24120330150982e-06,-1.6146415046164e-05,1.96703861429391e-05,-0.000153367027165327,3.34764144103206e-05,0.000248444329828669,-0.000108880384774725
